Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,video_seconds,real_id,viewCount,likeCount,commentCount
2018-01-28,VAV,Spotlight,스팟라잇,,https://youtu.be/rKuuTQhM-tg,Boy,Major,218,rKuuTQhM-tg,8313798,143534,6634
2018-01-25,Davichi,Days Without You,너 없는 시간들,,https://youtu.be/_jzMDsYHktI,Girl,Major,282,_jzMDsYHktI,14206447,243985,11954
2018-01-25,iKON,Love Scenario,사랑을 했다,,https://youtu.be/vecSVX1QYbQ,Boy,Major,212,vecSVX1QYbQ,604941849,7349659,443599
2018-01-24,fromis_9,To Heart,투하트,,https://youtu.be/BzZ8NmYUldE,Girl,Major,228,BzZ8NmYUldE,305669,15734,955
2018-01-24,Jeong Sewoon,Baby It's U,베이비잇츄,,https://youtu.be/VED_cqxthf4,Boy Solo,Major,202,VED_cqxthf4,2252582,86072,2983
2018-01-24,The Eastlight,Two Of Us,너와 둘이,,https://youtu.be/2iF1WRGp1W8,Boy,Minor,219,T9tIgmPzd5w,2284,82,4
2018-01-23,Rainz,Turn It Up,턴 잇 업,,https://youtu.be/mD1Yeygtxrs,Boy,Major,251,mD1Yeygtxrs,421182,12005,849
2018-01-23,B1A4,Do You Remember,,,https://youtu.be/3pMUutnxSbw,Boy,Japanese,214,jiG2aKWM2yQ,41190,357,17
2018-01-23,Target,Awake,어웨이크,,https://youtu.be/xn72N1Y3ABE,Boy,Major,229,xn72N1Y3ABE,500861,34337,2285
2018-01-23,Jonghyun,Before Our Spring,우린 봄이 오기 전에,,https://youtu.be/v9ea5VDQfXg,Boy Solo,Major,253,v9ea5VDQfXg,7586194,501766,40955
2018-01-22,Jonghyun,Shinin',빛이 나,HIGHQUALITYFISH,https://youtu.be/J41qe-TM1DY,Boy Solo,Major,179,J41qe-TM1DY,24625709,1496050,162774
2018-01-22,Ravi,Nirvana feat. Park Jimin,너바나,,https://youtu.be/clGewsyYqBg,Boy Solo,Major,221,iyOdv7rVoW8,62772,881,0
2018-01-22,Suzy,In Love With Someone Else,다른사람을 사랑하고 있어,,https://youtu.be/eQ3gXtX3U7I,Girl Solo,Minor,245,eQ3gXtX3U7I,10249890,203988,9195
2018-01-21,HALO,Liar,,,https://youtu.be/6hzrxedNMnk,Boy,Japanese,264,6hzrxedNMnk,882420,18361,0
2018-01-20,UP10TION,Wild Love,,,https://youtu.be/eOLasFesC3Q,Boy,Japanese,209,eOLasFesC3Q,677610,24519,1294
2018-01-18,Sunmi,Heroine,주인공,,https://youtu.be/F4qfN5UeFvQ,Girl Solo,Major,216,F4qfN5UeFvQ,72405649,936031,31295
2018-01-18,The Eastlight,Real Man,레알 남자,,https://youtu.be/SiQeBQLBu3U,Boy,Major,204,z2iO9AyWPqE,93415,6992,367
